PIN,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,SPI2_SCK,USART1_CTS,,LED_DATA_B,USART2_CTS,,,COMP1_OUT,,USART2_TX,SPI1_MISO,,,TIM1_CH3,TIM1_CH1N,IR_OUT
PA1,SPI1_SCK,USART1_RTS,,LED_DATA_C,USART2_RTS,,,EVENTOUT,,USART2_RX,SPI1_MOSI,,,TIM1_CH4,TIM1_CH2N,MCO
PA2,SPI1_MOSI,USART1_TX,,LED_DATA_D,USART2_TX,,,COMP2_OUT,,,SPI1_SCK,,I2C_SDA,TIM3_CH1,,
PA3,SPI2_MISO,USART1_RX,,LED_DATA_E,USART2_RX,,,EVENTOUT,,,SPI1_MOSI,,I2C_SCL,TIM1_CH1,,
PA4,SPI1_NSS,USART1_CK,SPI2_MOSI,LED_DATA_F,TIM14_CH1,USART2_CK,,EVENTOUT,,USART2_TX,,,,TIM3_CH3,,RTC_OUT
PA5,SPI1_SCK,,,LED_DATA_G,,LPTIM1_ETR,,EVENTOUT,,USART2_RX,,,,TIM3_CH2,,MCO
PA6,SPI1_MISO,TIM3_CH1,TIM1_BKIN,LED_DATA_DP,,TIM16_CH1,,COMP1_OUT,USART1_CK,,,,,,,RTC_OUT
PA7,SPI1_MOSI,TIM3_CH2,TIM1_CH1N,,TIM14_CH1,TIM17_CH1,EVENTOUT,COMP2_OUT,USART1_TX,USART2_TX,SPI1_MISO,,I2C_SDA,,,
PA8,SPI2_NSS,USART1_CK,TIM1_CH1,,USART2_CK,MCO,,EVENTOUT,USART1_RX,USART2_RX,SPI1_MOSI,,I2C_SCL,,,
PA9,SPI2_MISO,USART1_TX,TIM1_CH2,,USART2_TX,MCO,I2C_SCL,EVENTOUT,USART1_RX,,SPI1_SCK,,I2C_SDA,TIM1_BKIN,,
PA10,SPI2_MOSI,USART1_RX,TIM1_CH3,,USART2_RX,TIM17_BKIN,I2C_SDA,EVENTOUT,USART1_TX,,SPI1_NSS,,I2C_SCL,,,
PA11,SPI1_MISO,USART1_CTS,TIM1_CH4,,USART2_CTS,EVENTOUT,I2C_SCL,COMP1_OUT,,,,,,,,
PA12,SPI1_MOSI,USART1_RTS,TIM1_ETR,,USART2_RTS,EVENTOUT,I2C_SDA,COMP2_OUT,,,,,,,,
PA13,SWDIO,IR_OUT,,,,,,EVENTOUT,USART1_RX,,SPI1_MISO,,,TIM1_CH2,,MCO
PA14,SWCLK,USART1_TX,,,USART2_TX,,,EVENTOUT,,,,,,,,MCO
PA15,SPI1_NSS,USART1_RX,,,USART2_RX,,LED_COM0,EVENTOUT,,,,,,,,
PB0,SPI1_NSS,TIM3_CH3,TIM1_CH2N,,,EVENTOUT,,COMP1_OU T,,,,,,,,
PB1,TIM14_CH1,TIM3_CH4,TIM1_CH3N,,,,,EVENTOUT,,,,,,,,
PB2,USART1_RX,SPI2_SCK,,USART2_RX,,,,,,,,,,,,
PB3,SPI1_SCK,TIM1_CH2,,USART1_RTS,USART2_RTS,,LED_COM1,EVENTOUT,,,,,,,,
PB4,SPI1_MISO,TIM3_CH1,,USART1_CTS,USART2_CTS,TIM17_BKIN,LED_COM2,EVENTOUT,,,,,,,,
PB5,SPI1_MOSI,TIM3_CH2,TIM16_BKIN,USART1_CK,USART2_CK,LPTIM_IN1,LED_COM3,COMP1_OU T,,,,,,,,
PB6,USART1_TX,TIM1_CH3,TIM16_CH1N,SPI2_MISO,USART2_TX,LPTIM_ETR,I2C_SCL,EVENTOUT,,,,,,,,
PB7,USART1_RX,SPI2_MOSI,TIM17_CH1N,,USART2_RX,,I2C_SDA,EVENTOUT,,,,,,,,
PB8,,SPI2_SCK,TIM16_CH1,LED_DATA_A,USART2_TX,,I2C_SCL,EVENTOUT,USART1_TX,,,SPI2_NSS,I2C_SDA,TIM17_CH1,,IR_OUT
PF0-OSC_IN,,,TIM14_CH1,SPI2_SCK,USART2_RX,,,,USART1_RX,USART2_TX,,,I2C_SDA,,,
PF1-OSC_OUT,,,,SPI2_MISO,USART2_TX,,,,USART1_TX,USART2_RX,SPI1_NSS,,I2C_SCL,TIM14_CH 1,,
PF2-NRST,,,,SPI2_MOSI,USART2_RX,,MCO,,,,,,,,,
PF3,USART1_TX,,,SPI2_MISO,USART2_TX,,,,,,SPI1_NSS,,,TIM3_CH3,,RTC_OUT
PF4-BOOT0,,,,,,,,,,,,,,,,
